,year,value,ISO2,energy_type
522,2001,68437.0,CZ,Total Non-Renewable
523,2001,3671.666,CZ,Total Renewable
524,2001,441675.0,DE,Total Non-Renewable
525,2001,52722.5,DE,Total Renewable
526,2001,290.0,DJ,Total Non-Renewable
527,2001,0.0,DJ,Total Renewable
528,2001,40832.0,DK,Total Non-Renewable
529,2001,8655.653,DK,Total Renewable
530,2001,68.009,DM,Total Non-Renewable
531,2001,34.84,DM,Total Renewable
532,2001,14906.232,DO,Total Non-Renewable
533,2001,1334.752,DO,Total Renewable
534,2001,32398.7,DZ,Total Non-Renewable
535,2001,345.6,DZ,Total Renewable
536,2001,5457.33,EC,Total Non-Renewable
537,2001,8808.473,EC,Total Renewable
538,2001,10907.0,EE,Total Non-Renewable
539,2001,25.0,EE,Total Renewable
540,2001,77608.16,EG,Total Non-Renewable
541,2001,18561.215,EG,Total Renewable
542,2001,396.0,ER,Total Non-Renewable
543,2001,0.0,ER,Total Renewable
544,2001,146307.213,ES,Total Non-Renewable
545,2001,68533.887,ES,Total Renewable
546,2001,226.65,ET,Total Non-Renewable
547,2001,2512.429,ET,Total Renewable
548,2001,39167.0,FI,Total Non-Renewable
549,2001,26165.715,FI,Total Renewable
550,2001,256.13300000000004,FJ,Total Non-Renewable
551,2001,657.501,FJ,Total Renewable
552,2001,21.799999999999997,FK,Total Non-Renewable
553,2001,1.171,FK,Total Renewable
554,2001,117.80000000000001,FM,Total Non-Renewable
555,2001,5.912,FM,Total Renewable
556,2001,217.82,FO,Total Non-Renewable
557,2001,107.05,FO,Total Renewable
558,2001,71170.0,FR,Total Non-Renewable
559,2001,99462.705,FR,Total Renewable
560,2001,991.258,GA,Total Non-Renewable
561,2001,1343.456,GA,Total Renewable
562,2001,341756.0,GB,Total Non-Renewable
563,2001,12750.0,GB,Total Renewable
564,2001,193.20600000000002,GD,Total Non-Renewable
565,2001,0.0,GD,Total Renewable
566,2001,1930.3,GE,Total Non-Renewable
567,2001,8096.13,GE,Total Renewable
568,2001,293.644,GF,Total Non-Renewable
569,2001,539.326,GF,Total Renewable
570,2001,1830.0,GH,Total Non-Renewable
571,2001,7699.814,GH,Total Renewable
572,2001,252.32,GL,Total Non-Renewable
573,2001,205.92,GL,Total Renewable
574,2001,172.8,GM,Total Non-Renewable
575,2001,0.0,GM,Total Renewable
576,2001,620.0,GN,Total Non-Renewable
577,2001,680.22,GN,Total Renewable
578,2001,1499.539,GP,Total Non-Renewable
579,2001,129.095,GP,Total Renewable
580,2001,196.244,GQ,Total Non-Renewable
581,2001,12.6,GQ,Total Renewable
582,2001,57640.0,GR,Total Non-Renewable
583,2001,6301.1,GR,Total Renewable
584,2001,3619.328,GT,Total Non-Renewable
585,2001,3567.0100000000007,GT,Total Renewable
586,2001,2408.9579999999996,GU,Total Non-Renewable
587,2001,0.0,GU,Total Renewable
588,2001,45.897999999999996,GW,Total Non-Renewable
589,2001,0.0,GW,Total Renewable
590,2001,1212.826,GY,Total Non-Renewable
591,2001,64.714,GY,Total Renewable
592,2001,43998.0,HK,Total Non-Renewable
593,2001,0.0,HK,Total Renewable
594,2001,2565.516,HN,Total Non-Renewable
595,2001,2362.208,HN,Total Renewable
596,2001,7265.0,HR,Total Non-Renewable
597,2001,9250.4,HR,Total Renewable
598,2001,456.06399999999996,HT,Total Non-Renewable
599,2001,339.286,HT,Total Renewable
600,2001,28424.0,HU,Total Non-Renewable
601,2001,324.0,HU,Total Renewable
602,2001,103744.77,ID,Total Non-Renewable
603,2001,20112.723,ID,Total Renewable
604,2001,27654.0,IE,Total Non-Renewable
605,2001,1402.9,IE,Total Renewable
606,2001,53612.0,IL,Total Non-Renewable
607,2001,26.61,IL,Total Renewable
608,2001,563299.356,IN,Total Non-Renewable
609,2001,104455.94,IN,Total Renewable
610,2001,36323.0,IQ,Total Non-Renewable
611,2001,1288.0,IQ,Total Renewable
612,2001,152161.0,IR,Total Non-Renewable
613,2001,7100.669,IR,Total Renewable
614,2001,153.0,IS,Total Non-Renewable
615,2001,7687.0,IS,Total Renewable
616,2001,269542.0,IT,Total Non-Renewable
617,2001,67560.273,IT,Total Renewable
618,2001,4025.912,JM,Total Non-Renewable
619,2001,153.439,JM,Total Renewable
620,2001,9144.61,JO,Total Non-Renewable
621,2001,65.415,JO,Total Renewable
622,2001,772526.0,JP,Total Non-Renewable
623,2001,119416.5,JP,Total Renewable
624,2001,2041.5,KE,Total Non-Renewable
625,2001,2691.0480000000002,KE,Total Renewable
626,2001,2861.2,KG,Total Non-Renewable
627,2001,15373.4,KG,Total Renewable
628,2001,695.576,KH,Total Non-Renewable
629,2001,40.453,KH,Total Renewable
630,2001,18.2,KI,Total Non-Renewable
631,2001,0.16699999999999998,KI,Total Renewable
632,2001,44.7,KM,Total Non-Renewable
633,2001,0.0,KM,Total Renewable
634,2001,205.3,KN,Total Non-Renewable
635,2001,0.0,KN,Total Renewable
636,2001,12560.0,KP,Total Non-Renewable
637,2001,15392.062,KP,Total Renewable
638,2001,230935.0,KR,Total Non-Renewable
639,2001,5922.5,KR,Total Renewable
640,2001,43487.8,KW,Total Non-Renewable
641,2001,0.0,KW,Total Renewable
642,2001,657.361,KY,Total Non-Renewable
